Age,Gender,City,Position,Years_worked,Seniority,Technology,Salary
35,Male,Berlin,Software Engineer,12,Senior,C#,70000
34,Male,Munich,Cloud Architect,10,Senior,"Azure, SAP",120000
28,Male,Hamburg,Software Engineer,7,Senior,Scala,80000
26,Male,Munster,Data Scientist,6,Junior,Python,48000
35,Male,Berlin,Frontend Developer,4,Middle,JavaScript,50000
31,Female,Munich,QA Engineer,7,Senior,Java,68000
35,Male,Frankfurt,Software Engineer,12,Senior,java,66000
25,Male,Berlin,Backend Developer,4,Middle,Python,60000
42,Female,Berlin,QA Engineer,20,Middle,python,55000
40,Female,Munich,Software Engineer,20,Middle,Java,54000
37,Male,Berlin,Software Engineer,8,Junior,Java,60000
33,Male,Munich,Software Engineer,10,Senior,Java,75000
38,Male,Cologne,Software Engineer,11,Senior,PHP,55000
27,Male,Munich,Frontend Developer,4,Senior,Frontend,60000
33,Male,Berlin,Software Engineer,7,Senior,"Java, JavaScript",62000
36,Female,Munich,Backend Developer,5,Middle,PHP,60000
42,Male,Berlin,DevOps,22,Lead,yaml,70000
32,Male,Frankfurt,Network Engineer ,10,Senior,Python ,68500
31,Male,Berlin,Frontend Developer,10,Senior,Javascript,71060
33,Female,Berlin,QA Engineer,6,Middle,Java,60000
40,Male,Berlin,VP Engineering,10,VP,JS,100000
28,Male,Moldova,Backend Developer,4,Middle,Java ,28000
28,Male,Munich,Backend Developer,6,Senior,Java,70000
31,Male,Berlin,Software Engineer,9,Senior,Python,90000
28,Male,Berlin,Mobile Developer,5,Lead,Swift,70800
29,Male,Berlin,Software Engineer,8,Middle,PHP,55000
40,Male,Munich,Mobile Developer,25,Lead,Swift,85000
46,Male,Munich,QA Engineer,13,Senior,Java,70000
33,Male,Berlin,Backend Developer,5,Middle,Java,66000
33,Male,Berlin,ML Engineer,10,Middle,Python,62000
34,Male,Berlin,Software Engineer,14,Lead,Java,95000
36,Male,Berlin,Backend Developer,18,Senior,PHP,65000
33,Female,Berlin,QA Engineer,8,Senior,-,50000
32,Male,Berlin,Software Engineer,11,Lead,Android,80000
46,Male,Berlin,Software Engineer,14,Senior,JavaScript,80000
30,Male,Munich,Mobile Developer,8,Senior,Kotlin,66000
36,Male,Rosenheim,Data Science Manager,12,Manager,Python,89200
35,Male,Berlin,Product Manager,10,Senior,php,90000
31,Male,Berlin,Data Scientist,10,Lead,Python ,115000
46,Male,Munich,Scrum Master,12,Senior,Agile,85000
26,Male,Berlin,Mobile Developer,6,Senior,Kotlin,70000
31,Male,Mannheim ,Firmware Engineer,10,Senior,C,45000
31,Male,Munich,Frontend Developer,12,Lead,"TypeScript, JavaScript",85000
30,Female,Berlin,QA Engineer,5,Middle,Python ,50000
35,Male,Munich,Software Engineer,13,Lead,Pegasystems platform ,140000
33,Male,Berlin,Software Engineer,12,Senior,Javascript,120000
36,Male,Berlin,Software Engineer,7,Middle,"C++, Java, Embedded C",42000
36,Male,Munich,Solutions Architect,12,Lead,Cloud,105000
38,Male,Frankfurt,Data Center Manager,6,Work Center Manager,DC Management,68000
35,Female,Berlin,Software Engineer,15,Senior,C#,76000
32,Male,Munich,Fullstack Developer,9,Senior,Java,70000
29,Male,Berlin,Software Engineer,8,Senior,Go,70000
30,Male,Rosenheim,Software Engineer,9,Middle,Java,63000
35,Male,Berlin,ML Engineer,10,Lead,Scala,96000
29,Male,Berlin,Software Engineer,7,Senior,Python,64000
30,Female,Munich,Mobile Developer,10,Senior,Swift,65000
25,Male,Berlin,Software Engineer,6,Middle,Java,61500
43,Male,Berlin,Software Engineer,20,Senior,Python,79000
38,Male,Berlin,Software Engineer,16,Senior,Python,65000
26,Male,Berlin,Software Engineer,5,Middle,Scala,63000
25,Female,Munich,Product Manager,3,Middle,--,62000
34,Male,Munich,Software Engineer,12,Lead,python,95000
27,Male,Berlin,Backend Developer,5,Middle,Java,65000
30,Male,Berlin,Mobile Developer,3,Senior,Swift,58000
34,Male,Berlin,Data Scientist,5,Middle,Python,65000
36,Female,Berlin,QA Engineer,14,Lead,Java,69000
27,Male,Berlin,Backend Developer,5,Middle,Java,65000
45,Male,Berlin,Mobile Developer,10,Lead,SWIFT,77000
35,Male,Berlin,Backend Developer,6,Senior,"Java, angular, Aws",74000
36,Male,Berlin,Engineering Manager,7,Lead,"Swift, objective-c",80000
32,Male,Stuttgart,QA Engineer,9,Senior,Java,60000
33,Male,Boeblingen,DevOps,14,Senior,Golang,70000
30,Male,Berlin,Backend Developer,10,Middle,PHP,56000
35,Male,Berlin,Software Engineer,15,Senior,go,70000
24,Male,Boeblingen,C/C++/Java developer,1,Junior,Java,48000
25,Male,Stuttgart,Backend Developer,4,Middle,Java,60000
29,Male,Berlin,Mobile Developer,8,Senior,Kotlin,65000
32,Male,Berlin,DevOps Manager,10,Lead,DevOps,100000
32,Male,Dusseldorf,Software Engineer,11,Senior,.net,60000
24,Male,Munich,Software Engineer,3,Middle,Node.js,58000
24,Female,Stuttgart,Software Engineer,2,Middle,iOS,55200
56,Male,Ingolstadt,Software Engineer,9,Senior,R,75000
53,Male,Stuttgart,Frontend Developer,15,Senior,"Java, Javascript",50000
25,Male,Munich,ML Engineer,1,Middle,Python,65000
28,Male,Stuttgart,Software Engineer,8,Senior,C++,67200
30,Male,Munich,Software Engineer,7,Senior,C++,100000
26,Female,Berlin,Software Engineer,6,Senior,.NET,65000
31,Female,Stuttgart,Data Scientist,4,Middle,R,65000
31,Male,Munich,Software Engineer,9,Middle,C++,92500
29,Female,Stuttgart,QA Engineer,6,Middle,JS,54000
33,Male,Munich,Backend Developer,15,Lead,Scala,100000
26,Male,Munich,ML Engineer,2,Junior,Python,58000
30,Female,Frankfurt,QA Engineer,6,Senior,Bash,70000
34,Male,Berlin,Software Engineer,14,Senior,C#,72000
37,Male,Berlin,Team Lead,12,Head,Python,90000
38,Male,Frankfurt,Tech Lead,16,Lead,.Net,99000
28,Male,Munich,Network Administrator,9,Senior,Network,61200
31,Male,Berlin,QA Engineer,10,Senior,nothing,60000
29,Male,Dusseldorf,Consultant Data Analytics,1,Junior,Python,45000
39,Male,Munich,BI IT Consultant,5,Middle,"Qlik BI Tool, SQL",56000
39,Male,Munich,Software Engineer,12,Lead,PHP,108000
29,Male,Munich,Backend Developer,8,Senior,Java,95000
36,Male,Narnberg,Frontend Developer,1,Junior,Javascript,37500
33,Male,Berlin,iOS Developer,10,Middle,Swift,67000
31,Male,Berlin,Data Engineer,9,Senior,Python,81000
38,Male,Berlin,Backend Developer,11,Senior,Javascript,35000
37,Male,Berlin,Cloud Engineer,15,Senior,Cloud,72000
30,Male,Ansbach,Software Engineer,4,Junior,PHP,42000
34,Male,Munich,Solutions architect,14,Head,Blockchain,95000
33,Male,Berlin,Backend Developer,12,Senior,PHP,67000
43,Male,Berlin,Backend Developer,5,Middle,Java,64000
32,Female,Stuttgart,Stuttgart,2,Junior,Java,52000
34,Male,Leipzig,Mobile Developer,14,Senior,Android,60000
29,Male,Berlin,Backend Developer,9,Senior,Java,85000
37,Male,Berlin,Frontend Developer,14,Senior,Angular,84000
41,Male,Munich,Senior Program Manager,19,Senior,Autonomous Driving,123600
33,Male,Mannheim,Software Engineer,6,Middle,c#,49000
33,Female,Berlin,QA Engineer,9,Middle,Java,57000
40,Male,Munich,QA Engineer,18,Lead,Java,78000
38,Male,Munich,Backend Developer,12,Senior,Java,70000
29,Male,Munich,Frontend Developer,5,Middle,"Js, TypeScript, Angular",57000
27,Male,Berlin,Backend Developer,7,Senior,go,72000
33,Male,Frankfurt,Software Engineer,10,Senior,.NET,26400
28,Male,Berlin,Frontend Developer,8,Senior,Javascript,68000
38,Male,Munich,ML Engineer,10,Lead,Python,92000
42,Male,Berlin,ML Engineer,20,Senior,Python,80000
45,Female,Frankfurt,DB developer/Data analyst,6,Senior,T-SQL,55000
38,Male,Hamburg,Software Engineer,12,Senior,Java,73000
30,Male,Berlin,Software Engineer,11,Senior,Kotlin,55000
32,Male,Berlin,Software Engineer,9,Lead,JavaScript,90000
41,Male,Munich,Backend Developer,21,Senior,Java,80000
34,Male,Berlin,Security Engineer,10,Senior,python,85000
45,Male,Berlin,Software Engineer,25,Lead,c++,75000
34,Male,Berlin,DevOps,6,Middle,"Java, terraform",62000
25,Male,Stuttgart,Backend Developer,7,Senior,PHP,60000
32,Male,Berlin,Software Engineer,12,Senior,iOS,66800
65,Male,Berlin,Software Engineer,25,Senior,"Pascal, VB.NET, C#",55000
33,Male,Munich,Business Analyst,10,Senior,Java,70000
34,Male,Berlin,ML Engineer,12,Senior,Python,90000
28,Male,Berlin,Backend Developer,7,Senior,PHP,70000
39,Male,Munich,DBA,17,Senior,Oracle,64000
30,Male,Berlin,Backend Developer,7,Senior,Ruby,72000
34,Male,Berlin,DevOps,12,Senior,Java,70000
35,Male,Berlin,Support Engineer,10,Senior,PHP,63500
35,Female,Berlin,Frontend Developer,12,Middle,Javascript ,70000
34,Male,Berlin,Frontend Developer,10,Senior,"Angular, React",68000
34,Male,Berlin,Software Engineer,12,Lead,.net,78000
35,Male,Berlin,Software Engineer,8,Senior,Elixir,75000
38,Male,Berlin,Software Engineer,13,Lead,Java,89570
34,Female,Berlin,Software Engineer,9,Senior,Kotlin,78000
31,Male,Berlin,Mobile Developer,7,Senior,iOS,80000
34,Male,Berlin,Backend Developer,15,Senior,Elixir,70000
29,Female,Munich,Software Engineer,5,Middle,"NodeJS, Typescript, AWS",67000
37,Male,Berlin,Software Engineer,15,Senior,Scala,85000
44,Male,Stuttgart,Software Engineer,22,Senior,Erlang,76000
30,Male,Munich,Frontend Developer,9,Middle,TypeScript,66000
26,Male,Frankfurt,Consultant,4,Middle,JavaScript,65000
33,Diverse,Hamburg,Software Engineer,1,Middle,Scala,130000
46,Male,Berlin,Software Engineer,14,Senior,JavaScript,80000
33,Male,Berlin,Software Engineer,14,Senior,PHP,68000
27,Male,Tuttlingen,Software Engineer,4,Junior,C#,46000
38,Male,Stuttgart,Software Engineer,15,Senior,C#,56400
32,Male,Munich,Backend Developer,11,Senior,PHP,81200
26,Male,Frankfurt,Backend Developer,7,Senior,Java,65000
29,Male,Berlin,Software Engineer,12,Senior,Go,75000
32,Male,Nurnberg,Testautomation,8,Senior,"Java, JS",60000
29,Male,Bonn,Mobile Developer,5,Middle,Objective-C,55000
33,Male,Hamburg,Software Engineer,10,Senior,Ruby,75000
32,Male,Munich,QA Engineer,9,Senior,QA,76000
34,Male,Berlin,Software Engineer,10,Senior,C++,76000
31,Male,Moscow,Data Scientist,3,Lead,Python,20000
29,Male,Munich,Software Engineer,7,Senior,TypeScript,80000
33,Male,Munich,Software Engineer,10,Senior,C#,78000
32,Male,Berlin,Backend Developer,4,Senior,Ruby,65000
47,Male,Hamburg,Software Engineer,22,Senior,C++/C#,46000
29,Male,Berlin,Backend Developer,8,Middle,Go,65000
28,Male,Munich,Software Engineer,5,Senior,C++,67000
25,Male,Hamburg,Data Scientist,2,Middle,Python,48000
32,Male,Munich,SAP Developer,9,Senior,ABAP,70800
45,Male,Munich,Frontend Developer,3,Senior,Javascript / Typescript,70000
26,Male,Frankfurt,Software Engineer,3,Middle,Python ,48000
29,Male,Munich,Mobile Developer,8,Senior,Java/Kotlin,65400
40,Male,Berlin,Backend Developer,18,Senior,php,60000
27,Male,Munich,Software Engineer,5,Senior,Typescript / Angular,71000
27,Male,Munich,Software Engineer,5,Senior,Javascript,65000
22,Male,Warsaw,Backend Developer,3,Middle,PHP,27000
30,Male,Berlin,DevOps,9,Lead,Kubernetes,90000
30,Male,Hamburg,Software Engineer,6,Middle,.NET,60000
29,Male,Munich,SW Architect,8,Senior,C++,73000
37,Male,Heidelberg,Software Engineer,15,Senior,ABAP,67500
28,Male,Berlin,SRE,6,Middle,Kubernetes,66000
28,Female,Berlin,Software Engineer,8,Lead,Javascript,80000
28,Male,Stuttgart,Backend Developer,5,Middle,Java,55000
33,Male,Berlin,Software Engineer,13,Senior,Ruby,75000
25,Male,Berlin,Backend Developer,5,Senior,Java,60000
40,Male,Frankfurt,Software Engineer,22,Senior,Java,72000
28,Male,Munich,Fullstack engineer,9,Senior,React/Typescript,60000
29,Male,Berlin,Backend Developer,11,Senior,Python,85000
24,Male,Aachen,HiWi,3,Junior,Python,10164
30,Male,Berlin,Backend Developer,4,Senior,Golang ,65000
31,Male,Munich,Software Engineer,11,Middle,Python,75000
44,Male,Munich,Software Engineer,28,Senior,C#,78500
32,Male,Berlin,Software Engineer,12,Senior,Java,83000
33,Male,Berlin,Software Engineer,10,Middle,iOS,65000
46,Male,Munich,Software Engineer,10,Senior,Python ,68500
27,Male,Berlin,Frontend Developer,8,Middle,Angular,45000
30,Male,Samara,Backend Developer,2,Middle,php,12000
32,Male,Berlin,Backend Developer,5,Middle,Ruby,72000
34,Male,Berlin,Software Engineer,15,Lead,Java,80000
33,Male,Berlin,Software Engineer,10,Senior,Salesforce ,68000
26,Male,"Riga, Latvia",Software Engineer,4,Middle,javascript,24000
41,Male,Berlin,Software Engineer,19,Lead,Python,95500
35,Male,Cologne,Software Engineer,14,Senior,C++,72000
26,Male,Hamburg,Software Engineer,7,Senior,TypeScript,72000
27,Male,Berlin,Mobile Developer,3,Middle,Kotlin,65000
24,Male,Munich,Software Engineer,3,Middle,Java/C++,77600
35,Male,Hamburg,Software Engineer,13,Lead,Scala / Python,95000
31,Male,Dusseldorf,Software Engineer,7,Senior,C++,50400
25,Male,Berlin,Backend Developer,5,Middle,Java,80000
30,Male,Moscow,Backend Developer,2,Middle,Python,13000
30,Male,Moscow,Software Engineer,5,Middle,C,14712
35,Male,Berlin,QA Engineer,11,Senior,Java,74400
37,Male,Hamburg,Software Engineer,15,Senior,Java,70000
36,Male,Hamburg,Backend Developer,10,Senior,Java/Scala,82000
32,Female,Cologne,Data Scientist,4,Senior,Python,85000
23,Male,Berlin,Software Engineer,4,Middle,Javascript,70500
39,Male,Stuttgart,Software Engineer,11,Lead,PHP,75000
27,Female,Berlin,Data Scientist,3,Middle,Python,58000
50,Male,Berlin,Software Engineer,29,Lead,C++,28800
35,Male,Helsinki,Backend Developer,11,Senior,python,66000
29,Male,Berlin,Backend Developer,10,Senior,Ruby,80000
30,Male,Munich,Mobile Developer,8,Lead,Swift,75000
24,Male,Frankfurt,Frontend Developer,3,Middle,JavaScript,44000
28,Male,Wurzburg,Software Engineer,8,Senior,Java,75000
28,Male,Berlin,Backend Developer,9,Senior,PHP,60000
37,Male,Berlin,Software Engineer,8,Senior,Python ,76900
30,Male,Kiev,Backend Developer,8,Middle,Web developer,27000
30,Male,Munich,Frontend Developer,4,Middle,JavaScript/Typescript,55000
31,Male,Berlin,Software Engineer,4,Lead,Java,95000
28,Female,Berlin,Software Engineer,3,Middle,Javascript,60000
31,Female,Munich,Software Engineer,2,Middle,Java,58000
34,Male,Berlin,Mobile Developer,9,Senior,Android,72000
24,Male,Berlin,Backend Developer,4,Middle,PHP,46000
39,Male,Berlin,DevOps,15,Senior,Python,70000
42,Male,Den Haag,Backend Developer,20,Senior,.NET,75000
26,Male,London,Frontend Developer,8,Senior,"TypeScript, React",105000
32,Female,Berlin,Mobile Developer,7,Senior,Kotlin,63000
23,Male,Berlin,Mobile Developer,3,Lead,Swift,65000
27,Male,Amsterdam,ML Engineer,4,Middle,python,62000
27,Male,Berlin,Tech Lead / Full-Stack,5,Lead,Python / JavaScript (React),90000
29,Male,Berlin,Frontend Developer,8,Senior,JavaScript / typescript,69000
32,Male,Munich,Software Engineer,10,Senior,Java,88000
31,Male,Berlin,DevOps,11,Senior,Terraform,81000
29,Male,Cracovia,Frontend Developer,2,Middle,JavaScript,18700
26,Male,Berlin,Marketing Analyst,7,Middle,SQL,60000
29,Male,Berlin,Software Engineer,5,Middle,PHP,56000
30,Male,Hamburg,Frontend Developer,7,Senior,JavaScript,55000
38,Male,Berlin,Mobile Developer,10,Senior,Swift,70000
32,Male,Berlin,CTO,10,CTO,JAVA,200000
25,Male,Berlin,Solutions Architect,6,Middle,Apache Spark,100000
24,Male,Berlin,Backend Developer,3,Junior,C#,48000
24,Male,Tallinn,Software Engineer,3,Junior,Java,30000
27,Male,Prague,Software Engineer,3,Middle,.NET,21120
34,Female,Berlin,QA Engineer,6,Senior,Ruby,67500
30,Male,Utrecht,Data Scientist,2,Middle,python,48000
27,Female,Munich,Frontend Developer,2,Middle,JavaScript,64000
46,Male,Frankfurt,Software Engineer,23,Senior,C#,90000
42,Female,Munich,Software tester ,12,No level ,Java,47500
40,Female,Berlin,Fullstack Developer,8,Senior,C#,57000
23,Male,Stockholm,Frontend Developer,5,Senior,Javascript,45600
30,Male,Moscow,Backend Developer,2,Junior,Elixir,50000
40,Male,Braunschweig ,SAP BW Senior Consultant ,11,Senior,SAP BW / ABAP,75000
38,Male,Dresden,Software Engineer,10,Lead,"Go, PHP, SQL",62000
28,Male,Kyiv,Mobile Developer,5,Senior,Swift,45000
38,Male,Berlin,Software Engineer,16,Senior,ABAP,83000
32,Male,Hamburg,Software Engineer,12,Senior,Java,66300
33,Female,Berlin,Software Engineer,6,Middle,java,65000
34,Male,Berlin,Software Engineer,13,Lead,Kotlin ,85000
35,Female,Stuttgart ,QA Manager ,9,Middle,Jira,60000
37,Male,Stuttgart ,Software Engineer,9,Senior,Qml,60000
40,Male,Stuttgart,Software Engineer,14,Senior,C,95000
33,Male,Berlin,Director of Engineering,10,Director,PHP,100000
36,Male,Munich,IT Spezialist,15,Senior,AWS,79300
27,Male,Frankfurt,Software Engineer,5,Middle,C#/.NET,48000
28,Male,Berlin,Software Engineer,6,Middle,PHP,60000
23,Male,Warsaw,Software Engineer,4,Middle,PHP,34000
31,Female,Berlin,QA Engineer,11,Middle,JS,57000
34,Male,Tallinn,Software Engineer,12,Middle,PHP,54000
34,Male,Berlin,Software Engineer,10,Senior,.Net,60000
29,Male,Tallinn,Mobile Developer,7,Senior,Android,65000
38,Male,Munich,Software Engineer,15,Senior,Javascript,80000
25,Female,Berlin,Frontend Developer,4,Middle,Javascript / Typescript,60000
28,Male,Berlin,Frontend Developer,6,Senior,JavaScript,66000
23,Male,Berlin,Software Engineer,3,Middle,JavaScript,60000
30,Male,Munich,Software Engineer,10,Senior,.NET,75000
32,Male,Berlin,Engineering Manager,10,Middle,JavaScript,85000
28,Male,Berlin,Frontend Developer,2,Junior,JavaScript,47000
31,Male,Berlin,ML Engineer,4,Junior,python,62000
40,Female,Berlin,Software Engineer,15,Junior,JavaScript ,50000
42,Male,Berlin,Software Engineer,17,Senior,Go,75000
27,Male,Berlin,Software Engineer,6,Middle,Java,82000
29,Male,Munich,Software Engineer,8,Middle,PHP,75000
37,Male,Malta,Software Architect,18,Head,Go,156000
23,Male,Berlin,Software Engineer,5,Middle,Python,53000
35,Male,Munich,Backend Developer,14,Senior,Java,77000
39,Male,Berlin,Manager,11,Head,Python ,180000
33,Male,Lubeck,Software Engineer,10,Middle,C#,55000
31,Male,Berlin,Software Engineer,10,Lead,Python,82000
38,Male,Berlin,Data Scientist,15,Head,Python,100000
31,Male,Hamburg,ML Engineer,3,Lead,Python ,70000
26,Female,Berlin,Data Scientist,2,Junior,Python,47000
30,Male,Berlin,Software Engineer,10,Senior,Java,70000
33,Male,Munich,Software Engineer,9,Lead,Java,100000
33,Male,Munich,Software Engineer,11,Senior,Python,65000
31,Male,Berlin,Mobile Developer,10,Senior,Swift,80000
33,Male,Nuremberg ,Data Scientist,2,Middle,Python,54000
43,Male,Munich,Consultant ,21,Senior,Java,72000
36,Male,Berlin,Frontend Developer,14,Senior,Javascript,78000
33,Male,Nurnberg,Software Engineer,9,Senior,Javascript / Typescript,60000
36,Female,Berlin,DevOps,1,Middle,java,60000
27,Female,Munich,Mobile Developer,1,Junior,"Kotlin, Java",50000
33,Male,Berlin,Software Engineer,12,Lead,Go,120000
33,Male,Berlin,Data Analyst,2,Middle,SQL,62000
40,Male,Berlin,QA Engineer,11,Senior,Python,60000
40,Male,Bodensee,Product Manager,17,Lead,Linux Kernel,81000
35,Male,Frankfurt,Frontend Developer,6,Senior,Javascript,80000
39,Male,Berlin,Data Scientist,7,Senior,several,70000
25,Male,Berlin,Software Engineer,6,Middle,Java,63700
27,Male,Berlin,Software Engineer,4,Middle,C#,65000
28,Male,Berlin,Data Scientist,4,Middle,Python ,70000
36,Female,Munich,Frontend Developer,10,Middle,javascript,48000
29,Female,Berlin,Software Developer in Test,9,Lead,Java,66000
34,Male,Berlin,Mobile Developer,10,Senior,Android/Kotlin,70000
28,Female,Berlin,Data Scientist,4,Middle,Python,65000
39,Male,Munich,Software Architect,20,Lead,embedded,122000
